Host_Id,Name,Neighbourhood ,Property_Type,Review_Scores_Rating_bin,Room_Type,Zipcode,Beds,Number_of_Records,Number_Of_Reviews,Price
32330,East Vill Garden duplex apt-slps 7,Manhattan,Apartment,90,Entire home/apt,10009,4,1,29,375
32330,HUGE-3 bedroom-ENTIRE FLR -slps 6+2,Manhattan,Apartment,80,Entire home/apt,10009,4,1,83,375
32330,LARGE-3 bedroom -EAST VILL-slps 6+3,Manhattan,Apartment,75,Entire home/apt,10009,4,1,63,375
32330,Manhattan-EVill-sunny studio slps 4,Manhattan,Apartment,80,Entire home/apt,10009,2,1,73,130
32294,back room/bunk beds,Manhattan,Apartment,90,Private room,10031,2,1,184,50
32294,front room/double bed,Manhattan,Apartment,85,Private room,10031,1,1,179,50
32704,LOFT-CentralPrk/TimeSq/TheaterDist1,Manhattan,Loft,85,Private room,10019,1,1,17,192
32704,LOFT-CentralPrk/TimeSq/TheaterDist2,Manhattan,Loft,90,Private room,10019,1,1,79,199
32800,"Spacious&Pretty, heart of Brooklyn",Brooklyn,Apartment,100,Entire home/apt,11216,1,1,1,85
32774,Consummate 1Bdrm in Cultural Bklyn,Brooklyn,Apartment,85,Entire home/apt,11221,1,1,43,79
33405,Summer In Greenpoint! Deal! Enjoy!,Brooklyn,Apartment,90,Entire home/apt,11222,1,1,22,142
33279,SPACIOUS ELEVATOR APARTMENT,Manhattan,Apartment,80,Entire home/apt,10002,1,1,42,165
33279,"East Village ""Garden Apartment""",Manhattan,Apartment,85,Entire home/apt,10009,1,1,32,150
33279,East village Getaway Courtyard 3E,Manhattan,Apartment,85,Entire home/apt,10009,1,1,20,169
33279,Heart of the East Village 2E,Manhattan,Apartment,90,Entire home/apt,10009,1,1,10,159
33279,HEART OF THE EAST VILLAGE 2W,Manhattan,Apartment,85,Entire home/apt,10009,1,1,43,159
33279,Heart of the East Village 4E,Manhattan,Apartment,80,Entire home/apt,10009,2,1,48,169
33279,HEART OF THE EAST VILLAGE 4W,Manhattan,Apartment,90,Entire home/apt,10009,1,1,35,169
33279,Sunny renovated studio courtyard 3W,Manhattan,Apartment,90,Entire home/apt,10009,1,1,7,179
33279,Room in DOORMAN/ELEVATOR LOFT BLDG,Brooklyn,Apartment,80,Private room,11205,1,1,31,89
34128,Designer loft in hip Williamsburg,Brooklyn,Apartment,95,Entire home/apt,11211,1,1,21,170
35017,Sunny Artistic East Village Apt,Manhattan,Apartment,95,Entire home/apt,10003,1,1,20,160
34915,Luxurious 2-Floor Manhattan Mansion,Manhattan,Apartment,0,Entire home/apt,10075,2,1,0,1000
35271,Manhattan studio Apartment,Manhattan,Apartment,90,Entire home/apt,10021,2,1,31,150
35271,Manhattan City 1 Bed Room Apartment,Manhattan,Apartment,60,Entire home/apt,10029,2,1,1,110
35271,Manhattan large 1 Bed Rm Apartment,Manhattan,Apartment,80,Entire home/apt,10029,3,1,48,110
35271,Upper Eastside Studio Apartment,Manhattan,Apartment,85,Entire home/apt,10065,2,1,46,140
35271,PRIVATE Room Time SQ Broadway Area,Manhattan,Apartment,85,Private room,10036,1,1,9,125
35377,Live-In Tour Guide Scenic West Side,Manhattan,Apartment,85,Private room,10027,1,1,26,100
35935,Large Private B&B Style Studio,Brooklyn,Apartment,90,Entire home/apt,11238,2,1,52,80
36017,"Roomy 1BR near park, museums, more",Brooklyn,Apartment,80,Entire home/apt,11238,1,1,82,131
